symbol,series,stock_date,previous_close,open_price,high_price,low_price,last_traded_price,close_price,avg_price,total_trade_qty,turnover_in_lacs,no_of_trades,delivered_qty,delivered_percentage,52_week_high,52_week_high_date,52_week_low,52_week_low_date
20MICRONS,EQ,2024-10-04,284.75,285.0,288.25,266.75,278.0,276.65,278.83,272012,758.46,7786, 126609,46.55,348.0,2024-08-22,130.5,2023-10-25
360ONE,EQ,2024-10-04,955.45,962.9,1025.0,951.6,1003.0,1011.2,994.1,1463077,14544.4,89367, 263924,18.04,1215.0,2024-08-01,487.55,2023-10-05
3IINFOLTD,EQ,2024-10-04,32.13,32.1,32.39,31.5,31.79,31.67,31.99,621512,198.82,3503, 278086,44.74,63.9,2024-01-31,30.25,2024-06-04
3MINDIA,EQ,2024-10-04,34566.8,34593.0,34875.0,33906.95,34181.6,34329.85,34467.02,3177,1095.02,2294, 1300,40.92,40856.5,2024-07-02,28498.95,2024-05-15
5PAISA,EQ,2024-10-04,534.85,534.85,541.45,513.0,527.75,524.45,527.92,111334,587.76,5693, 37323,33.52,758.45,2024-01-09,404.0,2023-10-26
63MOONS,EQ,2024-10-04,406.7,406.7,411.2,387.0,390.5,389.8,396.86,385518,1529.96,8744, 151608,39.33,690.75,2023-12-11,239.05,2023-10-16
AAATECH,EQ,2024-10-04,128.8,126.25,130.79,125.13,127.0,126.05,127.64,37357,47.68,1436, 20592,55.12,160.85,2024-09-19,56.05,2023-10-09
AADHARHFC,EQ,2024-10-04,443.4,443.7,449.4,428.5,440.0,435.5,439.04,847770,3722.07,35311, 406599,47.96,516.8,2024-09-24,292.0,2024-05-15
AARON,EQ,2024-10-04,257.35,257.35,266.5,252.0,259.9,260.9,257.53,22062,56.82,2029, 4767,21.61,326.4,2023-12-11,242.1,2024-05-09
AARTECH,EQ,2024-10-04,71.95,72.85,72.85,68.35,68.35,68.35,68.53,944576,647.32,2319, 783087,82.9,87.33,2024-05-03,42.42,2023-12-21
AARTIDRUGS,EQ,2024-10-04,514.2,517.0,529.0,513.65,517.05,516.35,522.15,389944,2036.1,19930, 76783,19.69,635.0,2024-08-27,431.05,2024-03-28
AARTIIND,EQ,2024-10-04,562.65,561.55,565.25,549.0,552.2,551.15,557.71,2028215,11311.47,63502, 850868,41.95,769.25,2024-04-29,438.0,2023-10-26
AARTIPHARM,EQ,2024-10-04,615.55,610.1,627.7,600.75,621.25,621.15,618.4,67310,416.24,7394, 31376,46.61,721.7,2024-08-29,371.1,2023-10-26
AARTISURF,EQ,2024-10-04,817.25,821.6,845.0,800.0,807.2,809.55,820.6,63681,522.57,3962, 30709,48.22,918.0,2024-09-18,548.15,2024-03-27
AARVI,EQ,2024-10-04,137.24,135.91,139.59,135.0,136.0,136.06,136.36,15153,20.66,898, 5985,39.5,184.25,2024-04-15,112.95,2024-06-04
AAVAS,EQ,2024-10-04,1778.4,1745.0,1811.35,1735.1,1783.0,1776.9,1782.28,182752,3257.16,17998, 67263,36.81,1978.95,2024-06-19,1307.0,2024-03-28
ABAN,EQ,2024-10-04,72.83,74.8,74.8,72.0,72.83,72.79,73.25,74360,54.47,1162, 53868,72.44,93.35,2024-02-07,44.25,2023-10-04
ABB,EQ,2024-10-04,8110.3,8090.05,8104.2,7880.0,7950.0,7930.4,7974.52,305714,24379.23,42522, 144859,47.38,9149.95,2024-06-18,3850.0,2023-10-26
ABBOTINDIA,EQ,2024-10-04,28267.05,28260.0,28586.9,27970.1,28150.0,28104.55,28213.97,10751,3033.28,5388, 5042,46.9,30521.0,2024-08-30,22000.0,2023-12-21
ABCAPITAL,EQ,2024-10-04,234.25,234.24,235.0,227.05,228.0,227.83,230.51,5361656,12359.33,53407, 2162360,40.33,246.9,2024-06-20,155.0,2023-12-21
ABDL,EQ,2024-10-04,329.5,329.35,331.45,318.5,319.75,320.3,323.8,625319,2024.81,9777, 304488,48.69,372.4,2024-09-16,282.05,2024-07-23
ABFRL,EQ,2024-10-04,344.35,345.0,345.75,330.6,333.6,333.0,337.41,4922873,16610.3,33746, 2081606,42.28,364.4,2024-09-27,198.75,2024-03-14
ABGSEC,EQ,2024-10-04,103.79,103.64,103.64,103.01,103.44,103.44,103.43,96,0.1,8, 67,69.79,120.0,2024-07-10,99.66,2024-07-23
ABSLAMC,EQ,2024-10-04,730.1,735.8,736.0,711.65,717.6,716.75,724.99,405868,2942.5,33585, 210298,51.81,775.0,2024-08-21,423.0,2023-10-27
ABSLBANETF,EQ,2024-10-04,52.55,53.97,53.97,52.05,53.5,52.38,52.66,41206,21.7,984, 30017,72.85,55.51,2024-09-24,40.82,2024-03-13
ABSLLIQUID,EQ,2024-10-04,999.99,1000.0,1000.01,999.99,1000.01,1000.0,1000.0,37412,374.12,190, 35362,94.52,1030.0,2024-06-13,994.04,2024-03-06
ABSLNN50ET,EQ,2024-10-04,79.42,79.42,79.98,77.14,78.3,78.34,78.18,105563,82.53,1281, 62638,59.34,81.7,2024-09-24,43.9,2023-10-26
ABSLPSE,EQ,2024-10-04,11.06,10.95,11.14,10.82,11.05,10.98,10.96,285392,31.28,1262, 180402,63.21,11.82,2024-08-01,9.26,2024-06-05
ACC,EQ,2024-10-04,2458.75,2458.75,2482.15,2415.05,2439.05,2433.75,2437.38,308510,7519.57,19411, 173411,56.21,2844.0,2024-07-02,1803.0,2023-11-22
ACCELYA,EQ,2024-10-04,1870.75,1828.9,1828.9,1751.0,1784.95,1777.95,1781.29,47294,842.44,4208, 14843,31.38,2127.4,2024-02-15,1310.0,2023-12-13
